experiment_name,model,seed,lr,input_seq_len,num_kv_pairs,vocab_size,min_query_pos,params,best_val_answer_loss,best_val_answer_accuracy,test_loss_ckpt_answer_accuracy,test_acc_ckpt_answer_accuracy,test_loss_ckpt_exact_match,test_acc_ckpt_exact_match,primary_acc,primary_em,regime,group,model_short,setting_key,parsed_name_ok
mqar_bugcheck_mamba2_depth4_kv16_vocab512_lr1e4_seed42,Mamba2 depth=4,42,0.0001,128,16,512,,1931712,0.08199238,0.98553125,0.98590625,0.98590625,0.79650000,0.79650000,0.98590625,0.79650000,interesting,,,,0
mqar_bugcheck_mamba2_depth4_kv16_vocab512_lr1e4_seed43,Mamba2 depth=4,43,0.0001,128,16,512,,1931712,0.11892476,0.97431250,0.97525000,0.97525000,0.67250000,0.67250000,0.97525000,0.67250000,interesting,,,,0
mqar_bugcheck_mamba2_depth4_kv16_vocab512_lr3e4_seed42,Mamba2 depth=4,42,0.0003,128,16,512,,1931712,0.00541043,0.99912500,0.99925000,0.99900000,0.98950000,0.98500000,0.99900000,0.98500000,too_easy,,,,0
mqar_bugcheck_mamba2_depth4_kv16_vocab512_lr3e4_seed43,Mamba2 depth=4,43,0.0003,128,16,512,,1931712,0.01123286,0.99737500,0.99775000,0.99721875,0.96500000,0.95700000,0.99721875,0.95700000,too_easy,,,,0
mqar_bugcheck_mamba2_depth6_kv16_vocab512_lr1e4_seed42,Mamba2 depth=6,42,0.0001,128,16,512,,2765984,0.53769100,0.83850000,0.83512500,0.83512500,0.05750000,0.05750000,0.83512500,0.05750000,interesting,,,,0
mqar_bugcheck_mamba2_depth6_kv16_vocab512_lr1e4_seed43,Mamba2 depth=6,43,0.0001,128,16,512,,2765984,2.17820772,0.48184375,0.48675000,0.48675000,0.00000000,0.00000000,0.48675000,0.00000000,interesting,,,,0
mqar_bugcheck_mamba2_depth6_kv16_vocab512_lr3e4_seed42,Mamba2 depth=6,42,0.0003,128,16,512,,2765984,0.00767420,0.99781250,0.99787500,0.99784375,0.96600000,0.96550000,0.99784375,0.96550000,too_easy,,,,0
mqar_bugcheck_mamba2_depth6_kv16_vocab512_lr3e4_seed43,Mamba2 depth=6,43,0.0003,128,16,512,,2765984,0.00976957,0.99743750,0.99775000,0.99775000,0.96450000,0.96450000,0.99775000,0.96450000,too_easy,,,,0
mqar_bugcheck_ms_attention_stride4_kv16_vocab512_lr1e4_seed42,MS-attention stride=4,42,0.0001,128,16,512,,3030176,0.08424184,0.98550000,0.98518750,0.98518750,0.78350000,0.78350000,0.98518750,0.78350000,interesting,,,,0
mqar_bugcheck_ms_attention_stride4_kv16_vocab512_lr1e4_seed43,MS-attention stride=4,43,0.0001,128,16,512,,3030176,5.56317323,0.00803125,0.00362500,0.00753125,0.00000000,0.00000000,0.00753125,0.00000000,too_hard,,,,0
mqar_bugcheck_ms_attention_stride4_kv16_vocab512_lr3e4_seed42,MS-attention stride=4,42,0.0003,128,16,512,,3030176,0.00597709,0.99928125,0.99956250,0.99943750,0.99300000,0.99100000,0.99943750,0.99100000,too_easy,,,,0
mqar_bugcheck_ms_attention_stride4_kv16_vocab512_lr3e4_seed43,MS-attention stride=4,43,0.0003,128,16,512,,3030176,0.00780301,0.99921875,0.99925000,0.99925000,0.98850000,0.98850000,0.99925000,0.98850000,too_easy,,,,0
mqar_debug_small,Mamba2,42,,64,2,128,,1734720,3.21872725,0.26000000,0.26400000,,0.04700000,,0.26400000,0.04700000,interesting,,,,0
mqar_delayed_dump_debug,Mamba2,42,0.0003,256,16,512,128,1931712,5.56314902,0.00431250,0.00400000,0.00400000,0.00000000,0.00000000,0.00400000,0.00000000,too_hard,,,,0
mqar_delayed_l256_min128_mamba2_depth4_kv16_vocab512_seed42,Mamba2 depth=4,42,0.0003,256,16,512,128,1931712,5.56265045,0.00431250,0.00362500,0.00400000,0.00000000,0.00000000,0.00400000,0.00000000,too_hard,,,,0
mqar_delayed_l256_min128_ms_attention_stride4_kv16_vocab512_seed42,MS-attention stride=4,42,0.0003,256,16,512,128,3030176,5.55899200,0.00428125,0.00396875,0.00396875,0.00000000,0.00000000,0.00396875,0.00000000,too_hard,,,,0
mqar_delayed_l256_min128_ms_gated_stride2_kv16_vocab512_seed42,MS-gated stride=2,42,0.0003,256,16,512,128,2898336,5.56313834,0.00540625,0.00425000,0.00543750,0.00000000,0.00000000,0.00543750,0.00000000,too_hard,,,,0
mqar_delayed_l256_min64_mamba2_depth4_kv16_vocab512_seed42,Mamba2 depth=4,42,0.0003,256,16,512,64,1931712,5.56205334,0.00453125,0.00368750,0.00381250,0.00000000,0.00000000,0.00381250,0.00000000,too_hard,,,,0
mqar_delayed_l256_min64_ms_attention_stride4_kv16_vocab512_seed42,MS-attention stride=4,42,0.0003,256,16,512,64,3030176,5.55854245,0.00393750,0.00381250,0.00428125,0.00000000,0.00000000,0.00428125,0.00000000,too_hard,,,,0
mqar_delayed_l256_min64_ms_gated_stride2_kv16_vocab512_seed42,MS-gated stride=2,42,0.0003,256,16,512,64,2898336,5.56189397,0.00696875,0.00671875,0.00621875,0.00000000,0.00000000,0.00621875,0.00000000,too_hard,,,,0
mqar_final_easy_mamba2_depth4_L128_minnull_kv16_vocab512_train20000_seed42,Mamba2 depth=4,42,0.0003,128,16,512,,1931712,0.00541052,0.99912500,0.99925000,0.99900000,0.98950000,0.98500000,0.99900000,0.98500000,too_easy,,,,0
mqar_final_easy_mamba2_depth4_L128_minnull_kv16_vocab512_train20000_seed43,Mamba2 depth=4,43,0.0003,128,16,512,,1931712,0.01126384,0.99740625,0.99775000,0.99775000,0.96500000,0.96500000,0.99775000,0.96500000,too_easy,,,,0
mqar_final_easy_mamba2_depth4_L128_minnull_kv16_vocab512_train20000_seed44,Mamba2 depth=4,44,0.0003,128,16,512,,1931712,0.00876411,0.99750000,0.99737500,0.99737500,0.96050000,0.96050000,0.99737500,0.96050000,too_easy,,,,0
mqar_final_easy_ms_attention_stride4_L128_minnull_kv16_vocab512_train20000_seed42,MS-attention stride=4,42,0.0003,128,16,512,,3030176,0.00557412,0.99950000,0.99943750,0.99943750,0.99100000,0.99100000,0.99943750,0.99100000,too_easy,,,,0
mqar_final_easy_ms_attention_stride4_L128_minnull_kv16_vocab512_train20000_seed43,MS-attention stride=4,43,0.0003,128,16,512,,3030176,0.00775404,0.99931250,0.99928125,0.99928125,0.98850000,0.98900000,0.99928125,0.98900000,too_easy,,,,0
mqar_final_easy_ms_attention_stride4_L128_minnull_kv16_vocab512_train20000_seed44,MS-attention stride=4,44,0.0003,128,16,512,,3030176,0.05080960,0.98596875,0.98690625,0.98690625,0.81500000,0.81500000,0.98690625,0.81500000,too_easy,,,,0
mqar_final_easy_ms_gated_stride2_L128_minnull_kv16_vocab512_train20000_seed42,MS-gated stride=2,42,0.0003,128,16,512,,2898336,0.00601920,0.99887500,0.99878125,0.99859375,0.98050000,0.97800000,0.99859375,0.97800000,too_easy,,,,0
mqar_final_easy_ms_gated_stride2_L128_minnull_kv16_vocab512_train20000_seed43,MS-gated stride=2,43,0.0003,128,16,512,,2898336,0.00837625,0.99812500,0.99850000,0.99831250,0.97600000,0.97300000,0.99831250,0.97300000,too_easy,,,,0
mqar_final_easy_ms_gated_stride2_L128_minnull_kv16_vocab512_train20000_seed44,MS-gated stride=2,44,0.0003,128,16,512,,2898336,0.01497715,0.99562500,0.99684375,0.99684375,0.95300000,0.95300000,0.99684375,0.95300000,too_easy,,,,0
mqar_final_transition704_mamba2_depth4_L128_minnull_kv16_vocab704_train20000_seed42,Mamba2 depth=4,42,0.0003,128,16,704,,2030208,0.07183446,0.98112500,0.98109375,0.98109375,0.73500000,0.73500000,0.98109375,0.73500000,interesting,,,,0
mqar_final_transition704_mamba2_depth4_L128_minnull_kv16_vocab704_train20000_seed43,Mamba2 depth=4,43,0.0003,128,16,704,,2030208,0.01155850,0.99725000,0.99734375,0.99734375,0.95850000,0.95850000,0.99734375,0.95850000,too_easy,,,,0
mqar_final_transition704_mamba2_depth4_L128_minnull_kv16_vocab704_train20000_seed44,Mamba2 depth=4,44,0.0003,128,16,704,,2030208,5.88266154,0.00928125,0.00253125,0.00878125,0.00000000,0.00000000,0.00878125,0.00000000,too_hard,,,,0
mqar_final_transition704_ms_attention_stride4_L128_minnull_kv16_vocab704_train20000_seed42,MS-attention stride=4,42,0.0003,128,16,704,,3128672,5.87841718,0.01712500,0.00290625,0.01662500,0.00000000,0.00000000,0.01662500,0.00000000,too_hard,,,,0
mqar_final_transition704_ms_attention_stride4_L128_minnull_kv16_vocab704_train20000_seed43,MS-attention stride=4,43,0.0003,128,16,704,,3128672,5.87956819,0.01687500,0.00256250,0.01653125,0.00000000,0.00000000,0.01653125,0.00000000,too_hard,,,,0
mqar_final_transition704_ms_attention_stride4_L128_minnull_kv16_vocab704_train20000_seed44,MS-attention stride=4,44,0.0003,128,16,704,,3128672,5.87892346,0.01021875,0.00781250,0.01112500,0.00000000,0.00000000,0.01112500,0.00000000,too_hard,,,,0
mqar_final_transition704_ms_gated_stride2_L128_minnull_kv16_vocab704_train20000_seed42,MS-gated stride=2,42,0.0003,128,16,704,,2996832,0.02519671,0.99303125,0.99371875,0.99371875,0.90500000,0.90500000,0.99371875,0.90500000,too_easy,,,,0
mqar_final_transition704_ms_gated_stride2_L128_minnull_kv16_vocab704_train20000_seed43,MS-gated stride=2,43,0.0003,128,16,704,,2996832,0.01197193,0.99709375,0.99703125,0.99687500,0.95350000,0.95100000,0.99687500,0.95100000,too_easy,,,,0
mqar_final_transition704_ms_gated_stride2_L128_minnull_kv16_vocab704_train20000_seed44,MS-gated stride=2,44,0.0003,128,16,704,,2996832,0.04483674,0.98912500,0.98868750,0.98868750,0.83700000,0.83700000,0.98868750,0.83700000,too_easy,,,,0
mqar_final_transition768_mamba2_depth4_L128_minnull_kv16_vocab768_train20000_seed42,Mamba2 depth=4,42,0.0003,128,16,768,,2063040,5.96889821,0.03040625,0.00284375,0.03009375,0.00000000,0.00000000,0.03009375,0.00000000,too_hard,,,,0
mqar_final_transition768_mamba2_depth4_L128_minnull_kv16_vocab768_train20000_seed43,Mamba2 depth=4,43,0.0003,128,16,768,,2063040,5.96812357,0.02103125,0.00246875,0.02015625,0.00000000,0.00000000,0.02015625,0.00000000,too_hard,,,,0
mqar_final_transition768_mamba2_depth4_L128_minnull_kv16_vocab768_train20000_seed44,Mamba2 depth=4,44,0.0003,128,16,768,,2063040,0.03423185,0.99187500,0.99290625,0.99290625,0.89100000,0.89100000,0.99290625,0.89100000,too_easy,,,,0
mqar_final_transition768_ms_attention_stride4_L128_minnull_kv16_vocab768_train20000_seed42,MS-attention stride=4,42,0.0003,128,16,768,,3161504,5.96274332,0.01634375,0.00296875,0.01650000,0.00000000,0.00000000,0.01650000,0.00000000,too_hard,,,,0
mqar_final_transition768_ms_attention_stride4_L128_minnull_kv16_vocab768_train20000_seed43,MS-attention stride=4,43,0.0003,128,16,768,,3161504,5.96519043,0.00865625,0.00265625,0.00915625,0.00000000,0.00000000,0.00915625,0.00000000,too_hard,,,,0
mqar_final_transition768_ms_attention_stride4_L128_minnull_kv16_vocab768_train20000_seed44,MS-attention stride=4,44,0.0003,128,16,768,,3161504,5.96675758,0.00421875,0.00234375,0.00465625,0.00000000,0.00000000,0.00465625,0.00000000,too_hard,,,,0
mqar_final_transition768_ms_gated_stride2_L128_minnull_kv16_vocab768_train20000_seed42,MS-gated stride=2,42,0.0003,128,16,768,,3029664,0.15206351,0.95606250,0.95793750,0.95793750,0.50250000,0.50250000,0.95793750,0.50250000,interesting,,,,0
mqar_final_transition768_ms_gated_stride2_L128_minnull_kv16_vocab768_train20000_seed43,MS-gated stride=2,43,0.0003,128,16,768,,3029664,5.96922855,0.01421875,0.00278125,0.01359375,0.00000000,0.00000000,0.01359375,0.00000000,too_hard,,,,0
mqar_final_transition768_ms_gated_stride2_L128_minnull_kv16_vocab768_train20000_seed44,MS-gated stride=2,44,0.0003,128,16,768,,3029664,0.01851236,0.99578125,0.99578125,0.99578125,0.93350000,0.93350000,0.99578125,0.93350000,too_easy,,,,0
mqar_hard_rerun_mamba2_depth4_kv16_vocab1024_lr3e4_seed42,Mamba2 depth=4,42,0.0003,128,16,1024,,2194368,6.25603284,0.01809375,0.00231250,0.01921875,0.00000000,0.00000000,0.01921875,0.00000000,too_hard,,,,0
mqar_hard_rerun_mamba2_depth4_kv16_vocab1024_lr3e4_seed43,Mamba2 depth=4,43,0.0003,128,16,1024,,2194368,6.25585289,0.00796875,0.00203125,0.00818750,0.00000000,0.00000000,0.00818750,0.00000000,too_hard,,,,0
mqar_hard_rerun_mamba2_depth4_kv16_vocab768_lr3e4_seed42,Mamba2 depth=4,42,0.0003,128,16,768,,2063040,5.96889854,0.03050000,0.00284375,0.03009375,0.00000000,0.00000000,0.03009375,0.00000000,too_hard,,,,0
mqar_hard_rerun_mamba2_depth4_kv16_vocab768_lr3e4_seed43,Mamba2 depth=4,43,0.0003,128,16,768,,2063040,5.96812369,0.02109375,0.00246875,0.02012500,0.00000000,0.00000000,0.02012500,0.00000000,too_hard,,,,0
mqar_hard_rerun_mamba2_depth4_kv16_vocab_640_lr3e4_seed42,Mamba2 depth=4,42,0.0003,128,16,640,,1997376,0.01772772,0.99584375,0.99556250,0.99556250,0.93150000,0.93150000,0.99556250,0.93150000,too_easy,,,,0
mqar_hard_rerun_mamba2_depth4_kv16_vocab_640_lr3e4_seed43,Mamba2 depth=4,43,0.0003,128,16,640,,1997376,0.01415691,0.99606250,0.99525000,0.99525000,0.92700000,0.92700000,0.99525000,0.92700000,too_easy,,,,0
mqar_hard_rerun_ms_attention_stride4_kv16_vocab1024_lr3e4_seed42,MS-attention stride=4,42,0.0003,128,16,1024,,3292832,6.25329695,0.00225000,0.00209375,0.00215625,0.00000000,0.00000000,0.00215625,0.00000000,too_hard,,,,0
mqar_hard_rerun_ms_attention_stride4_kv16_vocab1024_lr3e4_seed43,MS-attention stride=4,43,0.0003,128,16,1024,,3292832,6.25383788,0.00221875,0.00243750,0.00243750,0.00000000,0.00000000,0.00243750,0.00000000,too_hard,,,,0
mqar_hard_rerun_ms_attention_stride4_kv16_vocab768_lr3e4_seed42,MS-attention stride=4,42,0.0003,128,16,768,,3161504,5.96274310,0.01646875,0.00296875,0.01668750,0.00000000,0.00000000,0.01668750,0.00000000,too_hard,,,,0
mqar_hard_rerun_ms_attention_stride4_kv16_vocab768_lr3e4_seed43,MS-attention stride=4,43,0.0003,128,16,768,,3161504,5.96519051,0.00868750,0.00265625,0.00912500,0.00000000,0.00000000,0.00912500,0.00000000,too_hard,,,,0
mqar_hard_rerun_ms_attention_stride4_kv16_vocab_640_lr3e4_seed42,MS-attention stride=4,42,0.0003,128,16,640,,3095840,5.78214020,0.00356250,0.00337500,0.00387500,0.00000000,0.00000000,0.00387500,0.00000000,too_hard,,,,0
mqar_hard_rerun_ms_attention_stride4_kv16_vocab_640_lr3e4_seed43,MS-attention stride=4,43,0.0003,128,16,640,,3095840,5.78360336,0.02128125,0.00296875,0.02059375,0.00000000,0.00000000,0.02059375,0.00000000,too_hard,,,,0
mqar_mamba2_depth4_len128,Mamba2 depth=4,42,0.0003,128,16,640,,1997376,5.78777928,0.00346875,0.00281250,0.00281250,0.00000000,0.00000000,0.00281250,0.00000000,too_hard,,,,0
mqar_mamba2_depth4_len128_easy_kv12_vocab_512,Mamba2 depth=4,42,,128,12,512,,1931712,0.00665706,0.99900000,0.99929167,,0.99150000,,0.99929167,0.99150000,too_easy,,,,0
mqar_mamba2_depth4_len128_easy_kv16_vocab_512,Mamba2 depth=4,42,,128,16,512,,1931712,0.00541118,0.99909375,0.99925000,,0.98950000,,0.99925000,0.98950000,too_easy,,,,0
mqar_mamba2_depth4_len128_easy_kv4_vocab256,Mamba2 depth=4,42,,128,8,512,,1931712,0.01095236,0.99737500,0.99762500,,0.98100000,,0.99762500,0.98100000,too_easy,,,,0
mqar_mamba2_depth6_len128,Mamba2 depth=6,42,,128,16,1024,,3028640,6.28395453,0.00193750,0.00137500,,0.00000000,,0.00137500,0.00000000,too_hard,,,,0
mqar_mamba2_depth6_len128_easy_kv12_vocab_512,Mamba2 depth=6,42,,128,12,512,,2765984,0.01432909,0.99566667,0.99583333,,0.95250000,,0.99583333,0.95250000,too_easy,,,,0
mqar_mamba2_depth6_len128_easy_kv16_vocab_512,Mamba2 depth=6,42,,128,16,512,,2765984,0.00775692,0.99781250,0.99787500,,0.96600000,,0.99787500,0.96600000,too_easy,,,,0
mqar_mamba2_depth6_len128_easy_kv4_vocab256,Mamba2 depth=6,42,,128,8,512,,2765984,0.05039835,0.98437500,0.98375000,,0.87450000,,0.98375000,0.87450000,too_easy,,,,0
mqar_ms_attention_stride4_len128,MS-attention stride=4,42,,128,16,1024,,3292832,6.28815973,0.00187500,0.00181250,,0.00000000,,0.00181250,0.00000000,too_hard,,,,0
mqar_ms_attention_stride4_len128_easy_kv12_vocab_512,MS-attention stride=4,42,,128,12,512,,3030176,0.00859943,0.99887500,0.99920833,,0.99050000,,0.99920833,0.99050000,too_easy,,,,0
mqar_ms_attention_stride4_len128_easy_kv16_vocab_512,MS-attention stride=4,42,,128,16,512,,3030176,0.00588597,0.99934375,0.99943750,,0.99100000,,0.99943750,0.99100000,too_easy,,,,0
mqar_ms_attention_stride4_len128_easy_kv4_vocab256,MS-attention stride=4,42,,128,8,512,,3030176,0.01675417,0.99618750,0.99600000,,0.96850000,,0.99600000,0.96850000,too_easy,,,,0
mqar_ms_gated_stride2_len128,MS-gated stride=2,42,,128,16,1024,,3160992,6.28598901,0.00200000,0.00143750,,0.00000000,,0.00143750,0.00000000,too_hard,,,,0
mqar_ms_gated_stride2_len128_easy_kv12_vocab_512,MS-gated stride=2,42,,128,12,512,,2898336,0.01000041,0.99775000,0.99795833,,0.97550000,,0.99795833,0.97550000,too_easy,,,,0
