experiment_name,model,seed,lr,input_seq_len,num_kv_pairs,vocab_size,min_query_pos,params,best_val_answer_loss,best_val_answer_accuracy,test_loss_ckpt_answer_accuracy,test_acc_ckpt_answer_accuracy,test_loss_ckpt_exact_match,test_acc_ckpt_exact_match
mqar_final_easy_mamba2_depth4_L128_minnull_kv16_vocab512_train20000_seed42,Mamba2 depth=4,42,0.0003,128,16,512,,1931712,0.00541052,0.999125,0.99925,0.999,0.9895,0.985
mqar_final_easy_mamba2_depth4_L128_minnull_kv16_vocab512_train20000_seed43,Mamba2 depth=4,43,0.0003,128,16,512,,1931712,0.01126384,0.99740625,0.99775,0.99775,0.965,0.965
mqar_final_easy_mamba2_depth4_L128_minnull_kv16_vocab512_train20000_seed44,Mamba2 depth=4,44,0.0003,128,16,512,,1931712,0.00876411,0.9975,0.997375,0.997375,0.9605,0.9605
mqar_final_easy_ms_attention_stride4_L128_minnull_kv16_vocab512_train20000_seed42,MS-attention stride=4,42,0.0003,128,16,512,,3030176,0.00557412,0.9995,0.9994375,0.9994375,0.991,0.991
mqar_final_easy_ms_attention_stride4_L128_minnull_kv16_vocab512_train20000_seed43,MS-attention stride=4,43,0.0003,128,16,512,,3030176,0.00775404,0.9993125,0.99928125,0.99928125,0.9885,0.989
mqar_final_easy_ms_attention_stride4_L128_minnull_kv16_vocab512_train20000_seed44,MS-attention stride=4,44,0.0003,128,16,512,,3030176,0.0508096,0.98596875,0.98690625,0.98690625,0.815,0.815
mqar_final_easy_ms_gated_stride2_L128_minnull_kv16_vocab512_train20000_seed42,MS-gated stride=2,42,0.0003,128,16,512,,2898336,0.0060192,0.998875,0.99878125,0.99859375,0.9805,0.978
mqar_final_easy_ms_gated_stride2_L128_minnull_kv16_vocab512_train20000_seed43,MS-gated stride=2,43,0.0003,128,16,512,,2898336,0.00837625,0.998125,0.9985,0.9983125,0.976,0.973
mqar_final_easy_ms_gated_stride2_L128_minnull_kv16_vocab512_train20000_seed44,MS-gated stride=2,44,0.0003,128,16,512,,2898336,0.01497715,0.995625,0.99684375,0.99684375,0.953,0.953
mqar_final_transition704_mamba2_depth4_L128_minnull_kv16_vocab704_train20000_seed42,Mamba2 depth=4,42,0.0003,128,16,704,,2030208,0.07183446,0.981125,0.98109375,0.98109375,0.735,0.735
mqar_final_transition704_mamba2_depth4_L128_minnull_kv16_vocab704_train20000_seed43,Mamba2 depth=4,43,0.0003,128,16,704,,2030208,0.0115585,0.99725,0.99734375,0.99734375,0.9585,0.9585
mqar_final_transition704_mamba2_depth4_L128_minnull_kv16_vocab704_train20000_seed44,Mamba2 depth=4,44,0.0003,128,16,704,,2030208,5.88266154,0.00928125,0.00253125,0.00878125,0.0,0.0
mqar_final_transition704_ms_attention_stride4_L128_minnull_kv16_vocab704_train20000_seed42,MS-attention stride=4,42,0.0003,128,16,704,,3128672,5.87841718,0.017125,0.00290625,0.016625,0.0,0.0
mqar_final_transition704_ms_attention_stride4_L128_minnull_kv16_vocab704_train20000_seed43,MS-attention stride=4,43,0.0003,128,16,704,,3128672,5.87956819,0.016875,0.0025625,0.01653125,0.0,0.0
mqar_final_transition704_ms_attention_stride4_L128_minnull_kv16_vocab704_train20000_seed44,MS-attention stride=4,44,0.0003,128,16,704,,3128672,5.87892346,0.01021875,0.0078125,0.011125,0.0,0.0
mqar_final_transition704_ms_gated_stride2_L128_minnull_kv16_vocab704_train20000_seed42,MS-gated stride=2,42,0.0003,128,16,704,,2996832,0.02519671,0.99303125,0.99371875,0.99371875,0.905,0.905
mqar_final_transition704_ms_gated_stride2_L128_minnull_kv16_vocab704_train20000_seed43,MS-gated stride=2,43,0.0003,128,16,704,,2996832,0.01197193,0.99709375,0.99703125,0.996875,0.9535,0.951
mqar_final_transition704_ms_gated_stride2_L128_minnull_kv16_vocab704_train20000_seed44,MS-gated stride=2,44,0.0003,128,16,704,,2996832,0.04483674,0.989125,0.9886875,0.9886875,0.837,0.837
mqar_final_transition768_mamba2_depth4_L128_minnull_kv16_vocab768_train20000_seed42,Mamba2 depth=4,42,0.0003,128,16,768,,2063040,5.96889821,0.03040625,0.00284375,0.03009375,0.0,0.0
mqar_final_transition768_mamba2_depth4_L128_minnull_kv16_vocab768_train20000_seed43,Mamba2 depth=4,43,0.0003,128,16,768,,2063040,5.96812357,0.02103125,0.00246875,0.02015625,0.0,0.0
mqar_final_transition768_mamba2_depth4_L128_minnull_kv16_vocab768_train20000_seed44,Mamba2 depth=4,44,0.0003,128,16,768,,2063040,0.03423185,0.991875,0.99290625,0.99290625,0.891,0.891
mqar_final_transition768_ms_attention_stride4_L128_minnull_kv16_vocab768_train20000_seed42,MS-attention stride=4,42,0.0003,128,16,768,,3161504,5.96274332,0.01634375,0.00296875,0.0165,0.0,0.0
mqar_final_transition768_ms_attention_stride4_L128_minnull_kv16_vocab768_train20000_seed43,MS-attention stride=4,43,0.0003,128,16,768,,3161504,5.96519043,0.00865625,0.00265625,0.00915625,0.0,0.0
mqar_final_transition768_ms_attention_stride4_L128_minnull_kv16_vocab768_train20000_seed44,MS-attention stride=4,44,0.0003,128,16,768,,3161504,5.96675758,0.00421875,0.00234375,0.00465625,0.0,0.0
mqar_final_transition768_ms_gated_stride2_L128_minnull_kv16_vocab768_train20000_seed42,MS-gated stride=2,42,0.0003,128,16,768,,3029664,0.15206351,0.9560625,0.9579375,0.9579375,0.5025,0.5025
mqar_final_transition768_ms_gated_stride2_L128_minnull_kv16_vocab768_train20000_seed43,MS-gated stride=2,43,0.0003,128,16,768,,3029664,5.96922855,0.01421875,0.00278125,0.01359375,0.0,0.0
mqar_final_transition768_ms_gated_stride2_L128_minnull_kv16_vocab768_train20000_seed44,MS-gated stride=2,44,0.0003,128,16,768,,3029664,0.01851236,0.99578125,0.99578125,0.99578125,0.9335,0.9335
