model_name,seed,input_seq_len,num_kv_pairs,vocab_size,params,answer_acc,exact_match,answer_loss,regime,output_dir,status
mamba2_wide_init,43,128,16,640,1997376,0.99312500,0.89550000,0.02388575,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v640_seed43,ok
mamba2_wide_init,44,128,16,640,1997376,0.01371875,0.00000000,5.78390459,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v640_seed44,ok
mamba2_wide_init,42,128,16,704,2030208,0.00556250,0.00000000,5.88104756,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v704_seed42,ok
mamba2_wide_init,43,128,16,704,2030208,0.03559375,0.00000000,5.82564851,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v704_seed43,ok
mamba2_wide_init,44,128,16,704,2030208,0.00284375,0.00000000,5.88103845,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v704_seed44,ok
mamba2_wide_init,42,128,16,768,2063040,0.00287500,0.00000000,5.96985181,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v768_seed42,ok
mamba2_wide_init,43,128,16,768,2063040,0.00240625,0.00000000,5.97022736,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v768_seed43,ok
mamba2_wide_init,44,128,16,768,2063040,0.00509375,0.00000000,5.96817035,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v768_seed44,ok
mamba2_wide_init,42,128,16,896,2128704,0.00203125,0.00000000,6.12334343,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v896_seed42,ok
mamba2_wide_init,43,128,16,896,2128704,0.00218750,0.00000000,6.12540506,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v896_seed43,ok
mamba2_wide_init,44,128,16,896,2128704,0.00237500,0.00000000,6.12327113,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v896_seed44,ok
mamba2_wide_init,42,128,16,1024,2194368,0.00221875,0.00000000,6.25643671,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1024_seed42,ok
mamba2_wide_init,43,128,16,1024,2194368,0.00209375,0.00000000,6.25774910,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1024_seed43,ok
mamba2_wide_init,44,128,16,1024,2194368,0.00200000,0.00000000,6.25990945,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1024_seed44,ok
mamba2_wide_init,42,128,16,1280,2325696,0.00181250,0.00000000,6.48550085,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1280_seed42,ok
mamba2_wide_init,43,128,16,1280,2325696,0.00121875,0.00000000,6.48317059,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1280_seed43,ok
mamba2_wide_init,44,128,16,1280,2325696,0.00128125,0.00000000,6.48290433,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1280_seed44,ok
mamba2_wide_init,42,128,16,1536,2457024,0.00118750,0.00000000,6.66765332,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1536_seed42,ok
mamba2_wide_init,43,128,16,1536,2457024,0.00156250,0.00000000,6.66796082,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1536_seed43,ok
mamba2_wide_init,44,128,16,1536,2457024,0.00146875,0.00000000,6.66775467,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v1536_seed44,ok
mamba2_wide_init,42,128,16,2048,2719680,0.00093750,0.00000000,6.95618381,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v2048_seed42,ok
mamba2_wide_init,43,128,16,2048,2719680,0.00146875,0.00000000,6.95575916,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v2048_seed43,ok
mamba2_wide_init,44,128,16,2048,2719680,0.00078125,0.00000000,6.95664801,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_wide_init_v2048_seed44,ok
ms_gated_right_init,42,128,16,512,2898336,0.99856250,0.97700000,0.00559598,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v512_seed42,ok
ms_gated_right_init,43,128,16,512,2898336,0.99859375,0.97800000,0.00547077,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v512_seed43,ok
ms_gated_right_init,44,128,16,512,2898336,0.99746875,0.95950000,0.01004602,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v512_seed44,ok
ms_gated_right_init,42,128,16,640,2964000,0.99884375,0.98150000,0.00640352,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v640_seed42,ok
ms_gated_right_init,43,128,16,640,2964000,0.99834375,0.97350000,0.00784415,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v640_seed43,ok
ms_gated_right_init,44,128,16,640,2964000,0.99625000,0.94400000,0.01613348,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v640_seed44,ok
ms_gated_right_init,42,128,16,704,2996832,0.99790625,0.96800000,0.00909440,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v704_seed42,ok
ms_gated_right_init,43,128,16,704,2996832,0.99746875,0.96050000,0.00969600,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v704_seed43,ok
ms_gated_right_init,44,128,16,704,2996832,0.99703125,0.95300000,0.01289903,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v704_seed44,ok
ms_gated_right_init,42,128,16,768,3029664,0.99668750,0.94800000,0.01331046,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v768_seed42,ok
ms_gated_right_init,43,128,16,768,3029664,0.99725000,0.95750000,0.01171804,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v768_seed43,ok
ms_gated_right_init,44,128,16,768,3029664,0.99834375,0.97350000,0.00766348,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v768_seed44,ok
ms_gated_right_init,42,128,16,896,3095328,0.99718750,0.95650000,0.01163228,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v896_seed42,ok
ms_gated_right_init,43,128,16,896,3095328,0.99740625,0.95850000,0.01131901,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v896_seed43,ok
ms_gated_right_init,44,128,16,896,3095328,0.99706250,0.95350000,0.01383725,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v896_seed44,ok
ms_gated_right_init,42,128,16,1024,3160992,0.99237500,0.88500000,0.03721483,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v1024_seed42,ok
ms_gated_right_init,43,128,16,1024,3160992,0.01278125,0.00000000,6.25460738,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v1024_seed43,ok
ms_gated_right_init,44,128,16,1024,3160992,0.99543750,0.92900000,0.02282297,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v1024_seed44,ok
ms_gated_right_init,42,128,16,1280,3292320,0.00171875,0.00000000,6.48486465,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v1280_seed42,ok
ms_gated_right_init,43,128,16,1280,3292320,0.00150000,0.00000000,6.48227634,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v1280_seed43,ok
ms_gated_right_init,44,128,16,1280,3292320,0.00171875,0.00000000,6.48207809,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v1280_seed44,ok
ms_gated_right_init,42,128,16,1536,3423648,0.00150000,0.00000000,6.66629202,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v1536_seed42,ok
ms_gated_right_init,43,128,16,1536,3423648,0.00103125,0.00000000,6.66733307,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v1536_seed43,ok
ms_gated_right_init,44,128,16,1536,3423648,0.00121875,0.00000000,6.66447018,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v1536_seed44,ok
ms_gated_right_init,42,128,16,2048,3686304,0.00106250,0.00000000,6.95606848,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v2048_seed42,ok
ms_gated_right_init,43,128,16,2048,3686304,0.00096875,0.00000000,6.95739859,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v2048_seed43,ok
ms_gated_right_init,44,128,16,2048,3686304,0.00087500,0.00000000,6.95514285,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_right_init_v2048_seed44,ok
ms_gated_slow_init,42,128,16,512,2898336,0.99906250,0.98500000,0.00508214,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v512_seed42,ok
ms_gated_slow_init,43,128,16,512,2898336,0.99875000,0.98000000,0.00526967,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v512_seed43,ok
ms_gated_slow_init,44,128,16,512,2898336,0.99753125,0.96050000,0.00994886,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v512_seed44,ok
ms_gated_slow_init,42,128,16,768,3029664,0.99665625,0.95000000,0.01284196,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v768_seed42,ok
ms_gated_slow_init,43,128,16,768,3029664,0.99734375,0.95950000,0.01188089,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v768_seed43,ok
ms_gated_slow_init,44,128,16,768,3029664,0.99850000,0.97700000,0.00795782,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v768_seed44,ok
ms_gated_slow_init,42,128,16,896,3095328,0.99784375,0.96600000,0.01069023,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v896_seed42,ok
ms_gated_slow_init,43,128,16,896,3095328,0.99743750,0.95950000,0.01143807,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v896_seed43,ok
ms_gated_slow_init,44,128,16,896,3095328,0.99700000,0.95300000,0.01336698,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v896_seed44,ok
ms_gated_slow_init,42,128,16,1024,3160992,0.99156250,0.87450000,0.04012764,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v1024_seed42,ok
ms_gated_slow_init,43,128,16,1024,3160992,0.01290625,0.00000000,6.25464246,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v1024_seed43,ok
ms_gated_slow_init,44,128,16,1024,3160992,0.99559375,0.93150000,0.02102806,too_easy,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v1024_seed44,ok
ms_gated_slow_init,42,128,16,1280,3292320,0.00171875,0.00000000,6.48486130,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v1280_seed42,ok
ms_gated_slow_init,43,128,16,1280,3292320,0.00159375,0.00000000,6.48231314,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v1280_seed43,ok
ms_gated_slow_init,44,128,16,1280,3292320,0.00159375,0.00000000,6.48208423,too_hard,outputs/MQARFailureSweep/mqar_fail_ms_gated_slow_init_v1280_seed44,ok
transformer_param_match,42,128,16,512,3071728,1.00000000,1.00000000,0.00010531,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v512_seed42,ok
transformer_param_match,43,128,16,512,3071728,1.00000000,1.00000000,0.00009137,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v512_seed43,ok
transformer_param_match,44,128,16,512,3071728,1.00000000,1.00000000,0.00008761,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v512_seed44,ok
transformer_param_match,42,128,16,640,3131248,1.00000000,1.00000000,0.00012459,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v640_seed42,ok
transformer_param_match,43,128,16,640,3131248,1.00000000,1.00000000,0.00011557,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v640_seed43,ok
transformer_param_match,44,128,16,640,3131248,1.00000000,1.00000000,0.00008794,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v640_seed44,ok
transformer_param_match,42,128,16,704,3161008,1.00000000,1.00000000,0.00012569,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v704_seed42,ok
transformer_param_match,43,128,16,704,3161008,1.00000000,1.00000000,0.00011843,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v704_seed43,ok
transformer_param_match,44,128,16,704,3161008,1.00000000,1.00000000,0.00011677,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v704_seed44,ok
transformer_param_match,42,128,16,768,3190768,1.00000000,1.00000000,0.00014442,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v768_seed42,ok
transformer_param_match,43,128,16,768,3190768,1.00000000,1.00000000,0.00008256,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v768_seed43,ok
transformer_param_match,44,128,16,768,3190768,1.00000000,1.00000000,0.00012791,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v768_seed44,ok
transformer_param_match,42,128,16,896,3250288,1.00000000,1.00000000,0.00010206,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v896_seed42,ok
transformer_param_match,43,128,16,896,3250288,1.00000000,1.00000000,0.00012172,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v896_seed43,ok
transformer_param_match,44,128,16,896,3250288,1.00000000,1.00000000,0.00014095,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v896_seed44,ok
transformer_param_match,42,128,16,1024,3309808,1.00000000,1.00000000,0.00014606,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v1024_seed42,ok
transformer_param_match,43,128,16,1024,3309808,1.00000000,1.00000000,0.00013384,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v1024_seed43,ok
transformer_param_match,44,128,16,1024,3309808,1.00000000,1.00000000,0.00013595,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v1024_seed44,ok
transformer_param_match,42,128,16,1280,3428848,1.00000000,1.00000000,0.00009572,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v1280_seed42,ok
transformer_param_match,43,128,16,1280,3428848,1.00000000,1.00000000,0.00016960,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v1280_seed43,ok
transformer_param_match,44,128,16,1280,3428848,1.00000000,1.00000000,0.00013031,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v1280_seed44,ok
transformer_param_match,42,128,16,1536,3547888,1.00000000,1.00000000,0.00018256,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v1536_seed42,ok
transformer_param_match,43,128,16,1536,3547888,1.00000000,1.00000000,0.00017784,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v1536_seed43,ok
transformer_param_match,44,128,16,1536,3547888,1.00000000,1.00000000,0.00014687,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v1536_seed44,ok
transformer_param_match,42,128,16,2048,3785968,1.00000000,1.00000000,0.00019302,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v2048_seed42,ok
transformer_param_match,43,128,16,2048,3785968,1.00000000,1.00000000,0.00019666,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v2048_seed43,ok
transformer_param_match,44,128,16,2048,3785968,1.00000000,1.00000000,0.00014968,too_easy,outputs/MQARFailureSweep/mqar_fail_transformer_param_match_v2048_seed44,ok
